M1DIfhAzsWA	6003	6065	5032	5018	5018
SUwKZfzqxHo	2259	2266	2300	2316	2329
q-Z4ks7N9lA	69	69	71	71	71
iJLPcmKqJl0	3874	3943	4014	4170	4003
RM5UOyi8W9g	5133	5162	4839	4825	4848
bKHCTG_nwoU	4281	4204	4249	4317	4356
RqMxClvspj8	3373	3409	3300	3321	3327
btOCT2xcdmA	10542	10561	10621	10622	10621
oekocb7Boik	12465	12633	13028	13202	13230
AeNvZiUFBiQ	4225	4226	4228	4230	4225
t4-Vf6L63Js	4187	4635	4698	4703	4459
dTA54srFoI4	5269	5283	5320	5330	5338
kKREoXVEA_8	1865	1869	1877	1884	1893
z2JmKR_STSw	29968	29977	29981	30005	30049
W-bDXp11_yU	26	26	27	27	27
zy_bIL9W8EA	726	728	734	735	738
Q5dqdK_oCDY	16559	16862	17447	17609	17875
mhgTPzD7thY	142	151	152	152	152
TI1PiPdj-sU	3782	3802	3837	3856	3886
gYEGn1PPIV4	15376	15784	16374	16540	16741
-KVZuN2q0Bc	1221	1283	1349	1375	1404
7RExzRrH4Wg	None	None	None	None	None
u6Bt1kEeewA	None	None	None	None	None
8jcSjhTnSsM	880	887	903	906	909
3klWO2ttpGQ	9806	9859	9954	10049	10139
VIOT_9iW4dI	2556	2614	2810	3108	3398
gSTr4fKD71I	190	195	218	232	251
70JDd-Ywnio	13452	13523	13645	13727	13809
Shgz5SkFqH4	594	607	623	635	645
-eKdRrKotdI	4968	4998	5132	5204	5255
N_BOMV45mDY	512	525	553	580	591
7sC1dBws9L0	1386	1410	1473	1514	1570
8G2jppE4rgo	83	83	72	73	74
fVzrPxAP2-k	3107	3106	3113	3119	3122
iVLHSUR8HD8	8106	8329	8848	8878	9387
uWRxfANFDBs	4081	4092	3209	3203	3189
IDLvZRlsqEM	1332	1343	1355	1371	1379
Ousbm87IVRY	439	460	524	539	555
vclUlhFmvMQ	11313	11354	11406	11446	11471
Nx-FaOdPkeI	6139	6170	6353	6459	6470
KQjVS3Q1NBo	2567	2590	2614	2624	2640
yDEoKxx1bLI	31126	33976	36435	36614	36804
e2IEBQdsDYs	774	779	781	779	777
lho_M2NyHvk	1959	2032	2106	2250	2322
2O6P40DQwl0	3735	3802	3469	3438	3418
namXTvyvLp0	8738	8842	8818	8919	9018
qIUY_P1m0kc	141	141	142	143	143
3V5MMWOZYII	693	706	751	779	805
lB54llAdWsI	327	328	331	332	334
LwLaJbNOqYU	7956	8443	9093	9187	9261
2fsENwn4-0w	4872	4874	4866	4866	4871
deCIuMFNL-o	3748	3862	4116	4239	4325
QPB3PA3IUzY	1789	1962	2252	2346	2463
jc1fTjYV7t0	142	142	142	150	151
lhE0Kk9z6yc	0	0	0	0	0
SED75FEsCf0	1958	1988	1952	2082	2150
8B0tr5P5oRM	6398	6518	6692	6802	6918
1yuTJMFGxEw	54510	55675	58034	59176	60460
7-zDYh5wDK0	5882	5910	5961	6003	6044
