1tGapyYxZ9o	61060	62981	68207	72963	77476	79483	80167	81517	81763	82351
nOL7AAlBNWE	153122	158754	176737	186359	195364	199692	201755	207331	208635	211364
73z14uurwO8	348359	354157	369985	374785	378342	379669	380256	381977	382312	383088
Hk8IbI7WXwE	658062	678846	767322	807992	828467	839421	844954	869519	872911	883751
HcYkm5HMO-Y	121723	126252	135575	139982	144497	146808	148140	151078	151905	153505
irmjkT-cu9I	2701239	2830141	3148891	3283435	3395065	3460116	3490881	3599295	3625363	3693222
xYKfGcXhpww	22348	23484	27073	28716	30262	31191	31617	32640	33025	36531
01vtM9g8Abo	193775	195463	274715	322295	357365	374194	381975	404252	409225	420232
Ujaa3ar4hCA	1179558	1252513	1572696	1717304	1849853	1940817	1991106	2148903	2188446	2297466
DqHzY0Ye4Rg	545299	570416	620148	648841	675873	685382	690468	709441	714097	727291
h4KVVYkrILo	373469	408943	510604	559683	618884	647435	658563	693977	701565	714033
wbWMeOdrQw8	48213	52675	65549	77808	88106	92632	94682	97956	98393	100026
Ux5Ws6nqdYY	154233	160632	181478	195649	209043	212441	214433	219752	220486	223190
L51jatjkgU4	206130	211978	226341	236655	244620	249358	251368	258713	260519	264466
ebVEtKdILqk	75052	76065	84874	89548	95277	98235	98878	104646	105058	107290
r5n1GCY-nYQ	5621749	6177203	8033681	9063969	9736071	10031884	10177961	10623377	10743479	11119371
DDY6KjQCMoQ	10243159	11039644	14910813	16345118	20066168	21178548	21295911	21442344	21490657	21570577
MXWgNfIeYVA	97520	98244	100283	100971	101741	102258	102577	103255	103393	103725
EaNgb5NZ3z8	386431	407397	504943	563320	628688	678479	705097	789461	810432	866409
V7lHNwP3pes	1571263	1627126	1797412	1878992	1952816	1996625	2017150	2078663	2091674	2129315
aTTRT41kKRk	522097	581103	695744	789164	871741	922380	937065	982841	990565	1005797
4TcXhZZM9ss	1060457	1101236	1212361	1267201	1316702	1349209	1369805	1425907	1444300	1483085
2zPILxJQBEE	905292	960536	1105573	1158396	1194006	1221028	1231070	1263827	1271237	1286664
FnD2ZUAl7tE	65374	67776	77194	83552	90842	95591	98011	104452	106060	109649
lh8qH-QWo9c	118996	121169	126739	129275	130690	131689	132109	133585	133962	134849
m5I6czoUIqk	77966	85067	95379	110696	125318	132157	135279	144868	145832	147986
VCHk9zoFIr8	3375663	4195740	7919988	10117014	11545848	12674817	13010313	13124069	13140985	13184489
qMVd2YRpwxQ	418535	438948	525177	579862	646087	689186	696605	707014	711545	724158
0ob5Cxk_R-I	1190648	1238173	1350902	1393080	1418871	1434722	1443593	1463546	1467364	1476736
zcV5sWLSlpk	36707	38922	43805	48086	52060	53890	54669	56188	56532	57181
Hqvdr91LoSI	1359076	1446540	1633087	1726114	1827196	1878952	1909109	1974727	1993999	2031036
dKxWdLubIT0	649411	672026	741259	756274	769852	778315	783639	795479	799430	811317
lHB5LGnPoxY	34232	37159	45396	55302	65118	70259	72023	77949	78996	82108
m_jpfxJz04I	2672101	2733157	2893857	3013166	3109813	3151558	3175372	3261496	3276259	3311600
xNZLnGcSZm0	323636	327735	342593	349024	354518	358541	360590	367013	368409	372673
-NgoUgB34BA	93236	106720	149915	177512	197848	203997	206836	218908	222616	231778
5l1BNHX_a3s	223070	269456	333570	349928	365681	373170	377573	385351	386958	390779
l8DOByEKujw	136337	143749	158835	163767	167163	169024	169881	172887	173624	175351
0-z2-XUr1yA	81144	85044	95468	100360	101778	102371	102700	103379	103521	103876
OuVXEipPe8c	136300	141936	157391	171568	184356	191257	193318	200262	201995	205312
nY3Pqhs_Jbs	2863496	2926436	3107839	3186948	3251527	3291446	3313603	3376642	3392104	3429766
VhAGdjRFXwM	133162	140306	172444	195522	221263	228917	232831	244325	246021	249800
qiymUC8h-bo	250460	258352	279651	291955	306395	314941	318752	325269	326586	329061
aA0MuS0UhME	266581	355466	509356	556328	599304	621266	634820	664451	672906	687814
rtu9E1LX0Tw	248169	265368	296443	323929	346108	365064	371853	386865	390127	396315
IsFpeXZTWao	263352	278927	336453	388146	422046	433351	440277	471005	476250	490494
NmX1N2p_UUI	136164	141173	155203	163161	170971	174394	176571	181104	182323	185046
-j8ZzRriM9k	540568	567408	609543	627756	635133	639095	640879	645441	646262	648211
k2MpW9v7nJs	53459	55183	63250	72875	81417	91764	92937	95937	96333	97103
UaIw4msLhe4	1116258	1594293	1936114	2019618	2061453	2078344	2088530	2114908	2120889	2133965
HOKEJEDRwxE	130680	134089	141713	145788	148724	150265	151189	155159	156005	158088
ur_zqGDzIjE	208563	220455	262900	287803	312332	326163	337692	366163	376133	399470
i22Lh2Npe-Y	540214	541401	544618	547244	549248	550386	551064	553819	554239	555402
sNB8REXJ4DY	116285	116833	118903	120378	121706	122452	122795	124095	124408	125130
SA2_QS-025Y	115138	119658	133630	149067	165219	176329	179769	190206	193839	199544
q0jyHVYCqX8	130709	136140	148019	153624	158603	161901	163620	168174	169448	172405
i3PVch18sVc	924135	930649	945812	950897	956903	960238	962174	966725	967683	969803
geNqUzG2fRo	135741	157600	212881	251158	291000	317303	334647	379855	392920	421294
T3UtNc-wJ84	131847	134153	141234	145702	148720	149715	150349	152631	153155	154445
XGQIQVsgAQw	487108	492861	507349	515383	522984	527311	529402	533716	534981	537907
Gdzj4rkS5TY	48892	49251	50241	50754	51253	51512	51655	51969	52059	52252
drSVg0q9-1Y	172894	182179	208056	235949	267182	289389	295894	323401	329395	349487
ITjuQpjG3JY	571322	576800	587542	591590	593674	595666	596298	599206	599502	600609
jeVqPpWlPxg	5281368	5871921	6883185	7346701	7799083	8069342	8221643	8559844	8628914	8771089
pqnSZjwlYKY	1150171	1188000	1357098	1511811	1635337	1716844	1751133	1840860	1854879	1891967
fSZ3M_BVWN8	123374	125662	133274	141193	150881	156016	157738	162551	163643	167067
Pr8_TRbTTdU	42713	43298	45211	46314	47845	48780	49159	50437	50654	51109
mFEQT5DBsA4	200887	206886	216184	219280	221717	223698	224274	225512	225757	226561
r1Rrt8iaOUc	2013706	2431715	3910351	4989144	6221171	7154677	7767492	9312457	9857927	10919716
p0IdUrGcy2c	1054370	1107606	1266762	1343565	1414553	1460589	1495050	1580278	1606080	1669743
