6q2cMTpUEOQ	170858	171321
SgflG4TzZNY	7384	7397
p82YhXuWios	16825	16831
tw9WfyAOt0g	1621	1627
lVabp2pq2pM	2192	2246
bKHCTG_nwoU	109529	110879
-iWBCjdrknE	1646	1673
OISqNAdTvFc	3355	3375
qmyMg504otQ	57793	57855
z2JmKR_STSw	538489	538629
xTiwEJNlTzM	32837	32914
3JIZTv-N--E	14890	14912
O_3S4fPxWZw	8220	8466
vYG9HdjJ8_A	852063	859518
hNVmHRmRELg	84061	84403
f1pq4hv6KMc	86406	86698
JBCF9h9gjh4	29409	29495
VH0sc3HtAq4	3320026	3374693
gYEGn1PPIV4	118298	122657
2ntnnBCpR5c	934	964
efFQ02rvSiA	847155	959213
9WZQlHMNe7o	180105	181814
Km6yiiGAx40	None	None
tPg6FNt-NYg	257092	258744
8d3X7_-QVyo	2769	2875
pyjyhmeebf0	55915	56227
NcbFqgyTTBU	11040	11202
3klWO2ttpGQ	168605	169215
oQ6a8UmuKhk	168676	169661
37v1PJqG06g	380833	381517
z1fmOHWlcog	18162	18180
70JDd-Ywnio	301752	303515
ej9N0sGymE0	17911	17955
Supe0AtCFAY	231032	231473
N_BOMV45mDY	22046	22674
7sC1dBws9L0	206598	224677
YgrzzRKITts	None	None
QxyyJXxC0HU	2707	2741
RdklEHhQ6Mo	7410	7501
Nus7MfF2ytw	5576940	5652452
vclUlhFmvMQ	66493	66811
9rsJSbp9P34	231770	236945
XnCeEJvcG6M	681716	693271
8pkqcDfmN_w	541442	543173
iEUxmn2YjiI	39144	39215
VG82HbYpwHY	19711	20711
pXSSqxWepvM	6757	6842
cYdMysMuJUw	28315	28746
FmOWPH2nudE	1135792	1143569
8gKAP2nm7xw	33752	35492
namXTvyvLp0	47655	48657
VAnRsg7UecE	9069	9990
ijMGwiif1ns	67485	67734
f37KZMEBWJs	100904	103294
QPB3PA3IUzY	139138	152071
deCIuMFNL-o	91034	94387
jc1fTjYV7t0	12844	13065
PBYXY9XZZ3Y	32050	32653
AAWOeenV_J4	8710	8777
OfX-2vUoFIE	48621	49049
coZD9WpVkqM	7986	8005
AV0Sd_vCN3o	17938	17950
1yuTJMFGxEw	271052	276000
o3JYek5NeoI	9604	9902
znNMvMrRYJ8	187499	191115
LcODhHnm9iE	178407	185761
1agyrozxf00	6215	6352
s7Ab_K-SYFc	7540	7670
UVfrBJs6rek	684139	685773
WVl6g5hvcDA	138685	140708
KU1ahg6DSAg	15586	15754
TSPGlIkTsVk	96602	99175
8W0PXYu7kM0	17659	18239
DtflxeL_vUo	31414	31418
jtvG5fAT2MU	42112	43476
eHqPJfbFYUk	88326	88590
Pu3MkJMRQgU	22307	22618
Cfbf5nXTqNk	61821	62689
HinJX54QBeY	5239	5466
3e38KSS6nRM	71004	71302
eW5lwMLnxCc	1303349	1307836
pfdesdD0Ilc	138330	138707
ChYVhpBdA4A	21166	21813
2JD0tMey7WE	10141	10626
Fsc9r_TXGiY	1438271	1458113
-tI2lYaLW3c	23838	24347
kOdl8EPXhaE	5941	6095
a8c7jmucS9w	175078	176066
Vkm5SpFfSiU	79544	80302
Kqtw6UAqkK4	77918	78189
A7qg7PZyEkU	27503	28289
lxhO3eEF9v0	4665	4692
EOBw7-8dYbU	4399	4636
GHJr7-c8fDE	174470	174560
OyQoZqwIPqk	3346	3369
Fy83MrpshhA	53116	53164
GGY2mPQwN7c	118188	119626
GblO2b5cFtY	46512	46630
8uiUz_IUkpo	6850021	7018178
AytvClK1I5k	209549	210364
Tvva9IhMWfM	564703	582123
8Q77E7XlRA4	136616	137547
DPfNnCffDZQ	703558	742695
pirYs7L4xog	5027317	5063151
5T97A6xA-sc	16232	16521
DVoTmOr4z5Q	951345	963887
E5Ri0crZCEs	1139	1139
bSea5EdqZ94	461092	461791
jWzSI5WKoek	58298	58550
MRF4Qqj9WAg	3079	3200
_jd0sk81oMk	2290	2385
c_pR5F9lFOM	94363	94600
xNgxUVpV1hA	1181743	1225724
Yooeqe7dpUs	4476	4500
BzQlUfRFLlE	108307	111004
GX6Xn7TD2zM	677064	683245
ADACarH2SBM	1838	2118
YUy0kKh7hP0	130554	130816
J9BUdl8RQ6A	41076	41527
-s4mSqdfW4g	120135	122810
Vdpyrfm1euo	17743	17776
c0AOEQAvZWk	3609583	3609444
aYJwVFe8cNs	35714	36069
o-5mYT6jTfo	3376	3442
8dJyRm2jJ-U	6165242	6234188
1TZtYUSqAac	29750	29889
lvFaOAG54pQ	94106	94215
jLPeqmhxbFI	17752	17996
wXq3llobMlY	5282	5280
hE-g2oV3L0M	8212	9046
cXEM7EDdwlU	26053	26102
edCQasal2Xo	2750	2773
W4J0cl1RvQs	100373	100550
-A1KJPbTyVY	3745	3951
NI4p4prh1Qw	2091693	2173837
iYai9I8Xx_E	136575	139893
YzXN2ta_Qt4	1399	1453
Fte2nIFyDBU	8877	8923
F2VfcYnPzTs	7227	7265
D3e9jWnhO3k	116063	117468
h6Wg5_v26yo	10160	10917
dHKgBJBfQxY	97023	100315
QcPiMya5W8o	5902	5950
R0CqhiMQ2NM	73238	76824
pOCN2bL_6fc	2988	3005
07MKcoqigK0	86638	87134
-Ts9LGHBKe0	2058189	2091214
Y3yfA86UJE8	10301	10345
5cbRYtgChLA	176845	177962
IKmeWK-sCcw	50655	50707
AhdoMuZsAno	130927	131351
WSO73A-QFHs	3608	3619
9Jr2dCEMxis	74035	74742
LkZIAQOK09I	39662	39685
7i8hdRsgk3Q	489284	503534
