fHdU-gzkl-I	101359	105892	121904	131958	141420
_LzE_yWxdqo	10671381	10944809	10994713	11007679	11012603
kdnoxh8vjLo	152789	169072	198087	206591	213441
760xRU26YNM	156256	167063	181786	190174	197315
ZF6ILkIzyFo	639386	653921	694388	721755	746290
d0oK0XipfTU	97602	99089	101518	102281	103011
tP0MvwnQr3U	1081605	1116327	1214473	1278682	1348760
rEx-A26tJ58	149505	152649	163705	169907	177046
WJojnQkITtg	80553	89828	105472	116276	134778
tfCTOaou8IU	25849	26254	27229	27725	28427
t4-Vf6L63Js	1649467	1791498	1891481	1901680	1906406
mjtTXlIYnbw	30092	30785	32845	33444	33850
Fw8ZJCRK-sY	180212	183156	188328	190263	193432
D-Im2mB8btQ	311544	327251	373435	396596	424454
JrrHWYu81iI	127907	136327	151963	157398	164631
-EnO5IHKDmE	48325	51198	55294	58653	62524
JzTsOwl1nJQ	58479	59171	60868	62156	64987
bFFxJS9Qjnw	91465	117734	143824	153355	160765
ETmC5qZIQX8	462804	490803	538258	558538	579855
LJenGtkGLeY	576701	594940	645689	678157	712850
xQwQojn9Dcw	165229	171695	190928	208390	236606
vDHHdq6Cvd0	290642	300589	327291	346280	365544
v-PP9dk4DDg	58886	59846	63295	65166	66960
nT3e7zwZJsU	421660	426468	438888	443360	448495
cDV5sVNDDck	38575	39587	41733	43511	45172
Q2UIgJfTBOU	495686	498325	504436	508296	512932
rlt4IQQITlY	40692	40842	41200	41384	41541
oAyRl0bWRFY	131292	131770	132676	132844	132965
sQCof2oeUbA	523469	536194	574425	595195	615082
kB12Q0NU7rA	81133	97882	119518	124538	129285
9cWTQPctB_M	114523	115130	116153	116403	116462
VMbFg7z7VpI	33063	40975	57744	64632	72857
GmPWPuZp1sA	26174	34148	51660	57302	60703
gRl0LJyG92Q	619204	683146	784338	825202	859975
R3GjmkuWuuQ	113648	118158	126661	131149	135913
nVeM3AOY2hM	274412	294302	351139	369919	393505
