RYqCp7DhSog	61096	62936	66188	67438	68364	68807
iHpirPqHu0c	15061	15347	16213	16662	17035	17203
XwG55kTNs_0	12555	13624	15929	17124	17949	18410
RO97n4rHLLU	28368	29380	32485	34668	36748	38030
hRffZKY8oqA	7545	7710	8215	8543	8898	9217
_VxUbjsMyQs	138534	141185	147839	152965	157083	159430
7t1-J40L_rM	10300	10596	11373	11767	12204	12470
_-DxRpFt8Z8	38683	38775	38995	39113	39219	39290
-NF0TGFka4w	5650	5809	6139	6342	6500	6617
t4-Vf6L63Js	272600	279875	307144	306533	306454	306385
bFeC5UBtLZs	115283	166032	204154	215757	223438	226943
IG-7SnQW-80	22441	25987	28808	29475	30075	30529
4SCdc8cGxAI	27286	40861	60842	62753	64553	65581
AH9m4WF_aD4	1049	1088	1128	1211	1310	1344
CMWLX0KXwF4	51166	57770	72628	79210	85601	90282
r5n1GCY-nYQ	414001	422817	453643	473106	491133	500954
DDY6KjQCMoQ	161996	162889	165113	166651	168565	169423
_HYse_HYnuk	870312	972300	1198659	1301788	1371551	1399090
UUnQZiDaNdg	16607	17066	17927	18427	18745	18965
1ydMr8kxfw8	18732	18894	19223	19437	19624	19800
kAu3uDBf8oA	8120	8120	8095	8092	8091	8089
7QLNMC3VTx4	7541	8181	8585	8667	8763	8819
uYc6aV4R6PQ	23713	24142	24987	25480	26012	26291
E5VIOnDzrY4	14427	15255	17112	18726	20017	20867
fN89luprW3o	36076	37093	38443	39144	39676	40027
5j0fptQ1R1U	5969	6975	10537	13611	16973	19276
7lWEHHl6VTI	3205	3552	3902	4022	4125	4188
Kj3AxeGK8wM	68373	71178	72157	72429	73249	74557
VCHk9zoFIr8	67937	75042	87959	94766	101392	106986
zhO5d4F2prE	30545	31672	32305	32542	32685	32719
sKWU4rneSlQ	14810	15261	16398	16889	17219	17289
BPOpyIxVbBI	24112	25084	26489	27150	27914	28298
3qJ9aaKlNok	4281	4330	4434	4488	4533	4559
aALm9bDmX58	108559	109708	112769	115022	116488	117590
RqwLD8MO7Ho	7902	8645	9564	10208	10518	10724
g1HPXBMIA6A	25270	28049	35110	40102	44153	46823
Bt6nzLkkM-0	7443	7754	8378	8783	9138	9286
kA81LzzdDGw	125786	144915	161882	168946	172380	173514
nw8BIIQeQAo	73325	73921	76179	77678	78952	80032
P6Ps7MYB2bI	11915	12432	13728	14416	15115	15442
80pbNnI2J8Q	14644	14775	15039	15196	15357	15406
XyBuzHV_VT8	14043	17583	20818	22148	22961	23508
9cxeIuno2qs	9460	9465	9486	9498	9504	9510
9kD5zXpBll0	40737	40992	41126	41225	41325	41390
uMP3QnwgB5A	66055	69278	72508	73184	74338	75081
MqzJPuEuhO0	3547	3775	4173	4292	4426	4496
-NxRMp1Fubc	1555	2288	3977	5229	6554	7438
n8ttdjm2xbo	3514	3620	3807	3929	4045	4117
dLRN3jolSe4	15676	16265	17739	19704	21401	22645
muDsx93j1XY	1437	1603	1894	2032	2130	2226
xuPN2VyOrMA	4131	4820	6371	6922	7721	8516
iB5HtkPXEb0	4388	4861	5429	5750	6099	6274
uGzDKU7gxho	38594	38851	38928	38767	38773	38777
d9dnkTOg4eE	1687	1783	2041	2141	2238	2300
WAGc3vNjYKA	17273	18573	20246	21259	22587	23224
QI9kTUmwA24	5711	5941	6188	6382	6597	6753
jeVqPpWlPxg	1273037	1347596	1683039	1757136	1839459	1888210
bP8HRYLd0lE	1925	2093	2492	2635	2808	2889
8NwAgV_NZ5o	7805	8263	8459	8486	8541	8555
X23zcvcqWdU	5595	5883	6360	6648	6919	7079
DEZRDfA2aag	26342	28067	30457	33341	36105	37566
-KKBtdYW9Uc	8352	8363	8322	8332	8335	8337
LAiyH45UM7o	455	470	482	486	487	487
MCw9hovilHg	17987	18764	22034	23690	24998	25907
JxcAfUvWD2A	3428	4438	5952	6816	7669	8288
r1Rrt8iaOUc	172718	189110	233929	259462	284332	299778
MYDzGIDtswY	6405	6706	6983	6990	7021	7044
L_FxdCN8P0U	18352	18379	18394	18360	18360	18357
iH8mWNKM8xU	None	None	None	None	None	None
2NaRcJZT8K0	64843	65432	67200	68297	69055	69713
mdl32xQeLjk	739	778	811	859	891	933
IiYCoPFHx04	102603	107461	116165	120070	123025	125080
1yruPciypig	10416	10925	13980	16908	19199	20913
z36lrSX1jmE	59944	60813	63563	65064	66388	67076
mxbkct5YTtE	1517	1739	2190	2537	2857	3051
cUbzWjNqtmo	12883	13089	13420	13454	13683	13797
n-y_8BkaqeA	20706	33004	45558	48632	52512	55620
oJd_Wd42Q40	39522	41192	44175	45769	47302	48245
9evgbXolGhI	2940	2941	2931	2931	2928	2930
MOifIuOhBiA	348661	348779	348036	347888	347707	347635
44cy4quQ8as	15600	15835	16485	16735	16959	17132
UmdSRf4RKf0	5941	8933	12048	13351	14664	15150
_r3FOESRwZ0	10976	11287	11584	11555	11566	11573
v2t75tTm_Jc	1780	1784	1796	1806	1816	1816
4vbDFu0PUew	989083	1006682	1071424	1108598	1152785	1175346
H9FDjFn-Gw8	33601	34967	36928	37853	38794	39336
pg5zzJTuRBA	3242	3489	3798	3982	4101	4158
7LHumsHONkc	1262	1298	1370	1465	1547	1597
